name,enname,youtubeId,twitterId,biliId,tags,thumbnailSource,cnname,
かしこ まり,Kashiko Mari,UCfiK42sBHraMBK6eNWtsy7A,kashikomari_ch,0,upd8,twitter,香织子鞠
ふくやマスター,Fukuya Master,UCXzcu59Cbu-hkpNNXnNiKDg,lesupo_ru321id,0,upd8,twitter,福山Master
のらきゃっと,Noracat,UC3iwL9Yz8LcKkJsnLPevOTQ,VR_Girl_NoraCat,0,upd8,twitter,Noracat
因幡 はねる,Haneru Inaba,UC0Owc36U9lOyi9Gx9Ic-4qg,Haneru_Inaba,0,upd8,twitter,因幡Haneru
響木 アオ,Hibiki Ao,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao,90100786,upd8,twitter,响木青
猫宮 ひなた,Nekomiya Hinata,UCevD0wKzJFpfIkvHOiQsfLQ,Nekomiya_Hinata,291296062,ENTUM,twitter,猫宫日向
もち ひよこ,Mochi Hiyoko,UCZ1WJDkMNiZ_QwHnNrVf7Pw,mochi8hiyoko,0,ENTUM,twitter,饼雏
ピンキーポップヘップバーン,Pinky Pop Hepburn,UC1pR2ig6NhndhvicEgclNdA,PinkyPopHepburn,393940396,MOON,twitter,Pinky Pop Hepburn
Yomemi,Yomemi,UCy5lOmEQoivK5XK7QCaRKug,APP_Yomemi,292044559,,twitter,Yomemi
エイレーン,Eilene,UCO6i768QTqAmGeV-iqZU2pg,BitYoutube,94896660,,twitter,艾琳
夏実 萌恵,Natsumi Moe,UCBePKUYNhoMcjBi-BRmjarQ,Vtuber_Moe,355167926,,twitter,萌惠
萌 実,Moemi Yomeno,UCy5lOmEQoivK5XK7QCaRKug,Moemi_Yomeno,0,,twitter,萌实
ベイレーン,Beliene,UCz0lin3ZsOtmr2yuTN2MDQg,beilene191969,0,,twitter,贝琳
月ノ美兎,Tsukino Mito,UCD-miitqNY3nyukJ4Fnf4_A,MitoTsukino,0,にじさんじ,twitter,月之美兔
本間 ひまわり,Honma Himawari,UC0g1AE0DOjBYnLhkgoRWN1w,honmahimawari,403928672,にじさんじ,twitter,本间向日葵
静 凛,Shizuka Rin,UC6oDys1BGgBsIC3WhG1BovQ,ShizuRin23,403921378,にじさんじ,twitter,静凛
樋口 楓,Higuchi Kaede,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede,0,にじさんじ,twitter,樋口枫
椎名 唯華,Siina Yuika,UC_4tXjqecqox5Uc05ncxpxg,yuika_siina,403927583,にじさんじ,twitter,椎名唯华
鈴鹿 詩子,Suzuka Utako,UCwokZsOK_uEre70XayaFnzA,suzukautako,0,にじさんじ,twitter,铃鹿诗子
笹木 咲,Sasaki Saku,UCoztvTULBYd3WmStqYeoHcA,saku_sasaki,230947255,にじさんじ,twitter,笹木咲
